cas_confirmes;cas_confirmes_ehpad;deces;deces_ehpad;reanimation;hospitalises;gueris
;;44985;19780;;24296;194901
2727321;149671;46539;20302;2582;24521;200079
;;46815;;;;
2894347;159791;48783;21359;2741;25019;209056
2910989;159791;48924;21359;2776;25269;209343
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
1;;;;;;
1;;;;;1;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
3;;0;;;3;
3;;0;;;3;
2;;;;;2;
2;;;;;2;
1;;;;;;
1;;;;;1;
1;;;;;1;
897;;26;;;;
1;;;;;1;
3;;0;;;;
2;;;;;2;
1;;;;;1;
1329;;41;;;;
1;;;;;1;
3;;;;;;
2;;;;;2;
1;;;;;1;
2026;;56;;;;
1;;;;;1;
1;;;;;;
3;;0;;;;
3;;0;;0;3;0
2;;;;;2;
1;;;;;1;
2820;;81;;;;
2886;;81;;;;
1;;;;;1;
4;;0;;;4;
4;;0;;1;4;0
3;;;;;3;
1;;;;;1;
4500;;106;;;;
1;;;;;1;
5;;0;;;5;
5;;0;;2;5;0
4;;;;;4;
1;;;;;1;
6072;;132;;;;
6000;;132;;;;
1;;;;;1;
6;;0;;;6;
6;;0;;2;6;0
5;;;;;5;
1;;;;;1;
7790;;170;;;;
8200;;171;;;;
1;;;;;1;
6;;0;;;6;
6;;0;;2;6;0
5;;;;;5;
1;;;;;1;
9831;;213;;;;
9890;;213;;;;
6;;0;;1;6;0
14600;;305;;;;
1;;;;;1;
6;;0;;;6;
6;;0;;1;6;0
5;;;;;5;
1;;;;;1;
17383;;362;;;;
17500;;362;;;;
6;;0;;1;6;0
20700;;427;;;;
1;;;;;1;
6;;0;;;6;
6;;0;;1;6;0
5;;;;;5;
1;;;;;1;
24530;;493;;;;
24630;;494;;;;
1;;;;;1;
6;;0;;;6;
5;;;;;5;
1;;;;;1;
28284;;565;;;;
1;;;;;1;
5;;0;;;;
11;;0;;;11;
6;;0;;1;6;0
5;;;;;5;
1;;;;;1;
5;;0;;;5;
31503;;638;;;;
31500;;638;;;;
1;;;;;1;
5;;0;;;;
5;;0;;;5;
6;;;;;;
11;;0;;;11;
11;;0;;1;11;0
5;;;;;5;
1;;;;;1;
5;;0;;;5;
5;;0;;;5;
34945;;724;;;;
11;;0;;1;11;0
37592;;814;;;;
1;;;;;1;
5;;0;;;;
11;;0;;;11;
11;;0;;1;11;0
5;;;;;5;
1;;;;;1;
5;;0;;;5;
40553;;910;;;;
40645;;910;;;;
1;;;;;1;
5;;0;;;;
11;;0;;;11;
5;;;;;5;
1;;;;;1;
5;;0;;;5;
43118;;1018;;;;
1;;;;;1;
5;;0;;;;
11;;0;;;11;
11;;0;;1;9;2
5;;;;;5;
1;;;;;1;
5;;0;;;5;
45179;;1116;;;;
45206;;1117;;;;
11;;0;;1;8;3
60363;;1371;;;;
12;;1;;;7;4
67000;;1500;;;;
12;;1;;;;
12;;1;;;4;7
75284;;2014;;;;
1;;;;;1;
6;;0;;;;
12;;1;;;11;
5;;;;;4;
1;;;;;1;
6;;0;;;6;
75744;;2128;;;;
12;;1;;;1;10
76787;;2248;;;;
12;;1;;;1;10
1;;;;;;
12;;1;;;;11
80000;;2620;;;;
7;;;;;;
12;;1;;;;
14;;1;;;2;11
0;;0;;;;
80134;;2698;;;;
80000;;2705;;;;28000
0;;0;;;;
1;;;;;;
0;;0;;;;
2;;1;;;;
2;;;;;;
0;;0;;;;
0;;0;;;;
2;;;;;;
17;;2;;;;
18;;2;;;4;12
2;;1;;;;
1;;0;;;;
81027;;2764;;;;
81000;;2770;;;;30000
1;;;;;;
1;;;;;;
1;;;;;;
1;;;;;;
2;;0;;;;
38;;2;;2;24;12
2;;0;;;;
82500;;2810;;;;33000
1;;;;;;
1;;;;;;
2;;;;;;
2;;;;;;
2;;;;;;
3;;;;;;
1;;;;;;
2;;;;;;
1;;;;;;
1;;;;;;
38;;2;;;;
57;;2;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
9;;;;;;
0;;;;;;
5;;0;;;;
4;;;;;;
1;;;;;;
0;;;;;;
9;;;;;;
1;;;;;;
1;;;;;;
1;;;;;;
1;;;;;;
1;;;;;;
11;;;;;;
0;;;;;;
0;;;;;;
1;;;;;;
0;;;;;;
1;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
2;;;;;;
2;;;;;;
1;;;;;;
0;;;;;;
3;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
73;;2;;;;
100;;2;;9;86;12
4;;;;;;
85700;;2930;;;;40000
1;;;;;;
2;;;;;;
1;;0;;;;
2;;;;;;
6;;;;;;
5;;;;;;
4;;;;;;
9;;;;;;
1;;;;;;
1;;;;;;
130;;2;;9;116;12
10;;0;;;;
87500;;3000;;;;42700
1;;;;;;
2;;;;;;
3;;0;;;;
2;;0;;;;
4;;;;;;
0;;0;;;;
0;;0;;;;
2;;0;;;;
3;;;;;;
6;;;;;;
2;;;;;;
0;;0;;;;
0;;0;;;;
0;;0;;;;
0;;0;;;;
12;;;;;;
0;;0;;;;
2;;0;;;;
3;;0;;;;
4;;0;;;;
25;;0;;;;
0;;0;;;;
178;;3;;;;
191;;3;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
34;;;;;;
0;;;;;;
8;;;;;;
2;;0;;;;
2;;;;;;
45;;;;;;
7;;0;;;;
12;;;;;;
5;;;;;;
5;;;;;;
13;;;;;;
4;;;;;;
6;;;;;;
32;;0;;;;6
37;;;;;;
9;;;;;;
0;;;;;;
89000;;3048;;;;45000
3;;0;;;;
6;;0;;;;
8;;;;;;
0;;0;;;;
0;;0;;;;
0;;0;;;;
0;;;;;;
1;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;0;;;;
2;;;;;;
2;;;;;;
0;;0;;;;
1;;;;;;
0;;0;;;;
0;;0;;;;
3;;;;;;
1;;;;;;
0;;0;;;;
0;;;;;;
1;;;;;;
4;;0;;;;
1;;;;;;
0;;0;;;;
29;;0;;;;
0;;;;;;
0;;;;;;
0;;;;;;
6;;;;;;
212;;4;;;;
212;;4;;;;12
3;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
37;;;;;;
0;;;;;;
15;;0;;;;
13;;;;;;
2;;;;;;
59;;;;;;
13;;;;;;
5;;;;;;
19;;;;;;
4;;;;;;
4;;;;;;
7;;;;;;
36;;0;;;;6
40;;;;;;
10;;;;;;
0;;;;;;
90663;;3125;;;;
92000;;3130;;;;48000
1;;;;;;
2;;;;;;
4;;0;;;;
12;;0;;;;
12;;;;;;
0;;0;;;;
10;;0;;;;
0;;0;;;;
0;;0;;;;
0;;0;;;;
2;;;;;;
7;;0;;;;
0;;0;;;;
0;;;;;;
1;;;;;;1
0;;;;;;
1;;;;;;
0;;0;;;;
0;;;;;;
0;;;;;;
1;;0;;;;
2;;;;;;
2;;;;;;
1;;;;;;
3;;0;;;;
2;;;;;;
4;;0;;;;
1;;;;;;
0;;0;;;;
1;;;;;;
0;;0;;;;
0;;0;;;;
4;;;;;;
1;;;;;;
1;;0;;;;
0;;0;;;;
0;;0;;;;
0;;0;;;;
17;;;;;;
0;;0;;;;
1;;;;;;
;;3;;;;
0;;0;;;;
1;;;;;;
5;;0;;;;
16;;0;;;;
5;;0;;;;
1;;;;;;
2;;;;;;
2;;0;;;;
39;;0;;;;
0;;;;;;
1;;0;;;;
0;;;;;;
0;;;;;;
1;;0;;;;
7;;;;;;
5;;;;;;
5;;;;;;
285;;4;;15;;
285;;4;;15;;
0;;;;;;
0;;;;;;
5;;0;;;;
0;;;;;;
0;;;;;;
0;;;;;;
55;;;;;;
0;;;;;;
19;;0;;;;
16;;;;;;
2;;;;;;
65;;;;;;
26;;0;;;;
38;;;;;;
7;;;;;;
24;;;;;;
23;;;;;;
5;;;;;;1
5;;;;;;
9;;;;;;
51;;0;;4;47;6
49;;;;;;
18;;0;;;;
13;;;;;;
0;;;;;;
93076;;3202;;;;
94250;;3200;;;;51000
1;;;;;;
2;;;;;;
4;;0;;;;
;;1;;;;
14;;1;;;;
14;;;;;;
3;;0;;;;
14;;0;;;;
4;;;;;;
7;;0;;;;
1;;;;;;
0;;;;;;
1;;;;;;1
0;;0;;;;
0;;;;;;
0;;0;;;;
0;;;;;;
0;;;;;;
17;;;;;;
3;;0;;;;
1;;0;;;;
3;;0;;;;
3;;0;;;;
3;;;;;;
0;;0;;;;
1;;;;;;
2;;;;;;
9;;;;;;
5;;0;;;;
0;;0;;;;
1;;0;;;;
1;;;;;;
0;;0;;;;
1;;0;;;;
1;;;;;;
3;;;;;;
2;;;;;;
3;;;;;;
23;;;;;;
1;;;;;;
;;3;;;;
;;5;;;;
6;;;;;;
;;0;;;;
3;;;;;;
1;;;;;;
12;;0;;;;
5;;;;;;
2;;0;;;;
39;;0;;2;;
17;;;;;;
3;;;;;;
1;;;;;;
1;;;;;;
1;;;;;;
;;0;;;;
2;;;;;;
1;;0;;;;
1;;0;;;;
0;;;;;;
0;;;;;;
18;;;;;;
1;;;;;;
10;;;;;;
7;;;;;;
7;;;;;;
12;;;;;;
2;;;;;;
423;;5;;23;;
423;;7;;23;;
0;;;;;;
0;;;;;;
5;;;;;;
0;;;;;;
0;;;;;;
77;;;;;;
76;;;;;;
3;;;;;;
2;;;;;;
44;;0;;;;
39;;;;;;
6;;;;;;
5;;4;;;;
74;;;;;;
77;;;;;;
8;;;;;;
31;;;;;;
29;;;;;;
8;;;;;;1
8;;;;;;
11;;;;;;
63;;0;;;;6
64;;;;;;
26;;0;;;;
18;;;;;;
3;;0;;0;;0
3;;;;;;
95315;;3282;;;;
98000;;3346;;;;53000
1;;;;;;
1;;;;;;
2;;;;;;
2;;;;;;
4;;0;;;;
;;1;;;;
20;;;;;;
5;;0;;;;
17;;0;;;;
2;;0;;;;
7;;0;;;;
1;;;;;;
1;;;;;;
2;;;;;;1
2;;;;;;
0;;0;;;;
0;;;;;;
5;;;;;;
0;;0;;;;
0;;;;;;
1;;;;;;
1;;;;;;
30;;;;;;
3;;0;;2;;
1;;0;;;;
4;;0;;;;
3;;0;;;;
5;;;;;;
2;;0;;;;
2;;;;;;
3;;;;;;
2;;;;;;
2;;;;;;
11;;;;;;
6;;0;;;;
0;;0;;;;
2;;0;;;;
2;;;;;;
